"","x"
"301",0.0116630764099211
"302",0.0106498420060527
"303",0.0112402656544104
"304",0.0105156977685057
"305",0.0105723033546112
"306",0.0102609297832713
"307",0.010073908206628
"308",0.0107213481143768
"309",0.0099724163245547
"310",0.0115913788906344
"311",0.0102468742649406
"312",0.0123070686842975
"313",0.0107188610639491
"314",0.0112386172441479
"315",0.0106197005287721
"316",0.0105450115265756
"317",0.0116706057551179
"318",0.0127804057414003
"319",0.0116615369410313
"320",0.0131718634175221
"321",0.0127178805944604
"322",0.0125367289946745
"323",0.0121854415699105
"324",0.0118715586006247
"325",0.0137003704455767
"326",0.0121078142216348
"327",0.0147744235496241
"328",0.0126456021148701
"329",0.0132574181885119
"330",0.0129192114374326
"331",0.0125416332290962
"332",0.0129328065041722
"333",0.0123372057805907
"334",0.0128319220752181
"335",0.0125408699011559
"336",0.0124273009569898
"337",0.0123300908563745
"338",0.011989816584592
"339",0.0123745836376481
"340",0.0121348808630477
"341",0.0118216568480858
"342",0.0126856637905816
"343",0.0129941391953601
"344",0.0148859170419866
"345",0.0131616351641261
"346",0.013579897114847
"347",0.0149214813648368
"348",0.0136157346067356
"349",0.0146449043516247
"350",0.0135229031870262
"351",0.0135920222732498
"352",0.0129885347712724
"353",0.0131578678632678
"354",0.0142562653023312
"355",0.0130130472396343
"356",0.0148644926387645
"357",0.0132872668276505
"358",0.01579729531076
"359",0.0160909184847984
"360",0.0155321188505964
"361",0.0164699523250763
"362",0.0152656202511227
"363",0.0163303248465467
"364",0.0159470963742354
"365",0.0189853982647235
"366",0.0164591812961608
"367",0.0185331698608759
"368",0.0165933606804168
"369",0.0169924047116035
"370",0.016101939372041
"371",0.0159588949271197
"372",0.0153162549035202
"373",0.0167782502507359
"374",0.015682751210782
"375",0.0156478052822154
"376",0.016872220111466
"377",0.0164782589677164
"378",0.0160360935027221
"379",0.0179017370405798
"380",0.0160771593897895
"381",0.016305845494899
"382",0.0155119675606893
"383",0.0169868154740302
"384",0.0156944263928895
"385",0.0156454141866603
"386",0.0149360051662635
"387",0.0146179077127398
"388",0.0141685674563231
"389",0.0137774220934728
"390",0.0134092531066943
"391",0.0130473367204872
"392",0.0137571343942146
"393",0.0127578259527111
"394",0.0128289377881408
"395",0.0124069921979113
"396",0.0121454272871158
"397",0.0124895301701729
"398",0.011766485913476
"399",0.0117041959289314
"400",0.0113587386434573
"401",0.011197541567905
"402",0.0129777431251868
"403",0.0119795332274761
"404",0.0129444468807645
"405",0.0126950527328269
"406",0.0124210653218033
"407",0.0128300744148996
"408",0.0120743647050039
"409",0.0127431209079876
"410",0.0127927211194258
"411",0.0125533827083975
"412",0.012394412278019
"413",0.0145622714017052
"414",0.0127027959333857
"415",0.0131645150133649
"416",0.0123877819042005
"417",0.0123288921921755
"418",0.0136327405923582
"419",0.0123218838749878
"420",0.012526355599325
"421",0.0119583063811949
"422",0.0119947524989045
"423",0.0116249471094794
"424",0.0122930216915895
"425",0.0142505576058552
"426",0.0126250013722655
"427",0.0129931299468266
"428",0.0123661218614341
"429",0.0128496244070762
"430",0.0131393832287313
"431",0.0123983015192752
"432",0.0134549716980076
"433",0.0123892729355502
"434",0.0138284053758502
"435",0.0131779818440418
"436",0.0134610988923248
"437",0.0128936998941825
"438",0.0126583826472009
"439",0.0129011194059201
"440",0.0121972545037266
"441",0.0135513243081475
"442",0.0134470297563161
"443",0.0138845011445479
"444",0.0130734272755737
"445",0.0131281708285477
"446",0.0125710870005213
"447",0.013731735561285
