Grupo,Valor
A,40.9196804
A,40.70938
A,41.480461
A,40.6747786
A,40.2297206
A,41.1459408
A,40.1650598
A,40.7330602
A,40.9049408
A,40.8590192
A,40.13432
A,42.1885406
A,42.2770596
A,42.4258998
A,42.4878396
A,42.9015802
A,43.0587004
A,43.3846
A,43.6748002
A,43.2037802
A,43.314939
A,43.8885406
A,45.0414398
A,45.3626394
A,45.0425802
A,45.1082796
A,45.3832202
A,46.1107604
A,46.8976598
A,45.9008004
A,45.65948
A,45.24114
A,44.8650206
A,44.807579
A,44.4568986
A,44.6805596
A,44.3420208
A,43.9179802
A,43.7717596
A,43.6668
A,42.5361582
A,42.5556002
A,42.646439
A,43.0414794
A,43.4030604
A,42.6283796
A,42.7498992
A,42.7478992
A,43.2995416
A,44.7643812
A,45.7919598
A,45.3633804
A,44.0857988
A,44.7151808
A,44.9847396
A,45.9557602
A,45.6516596
A,45.1480216
A,45.1926798
A,44.6613788
A,45.409601
A,44.78252
A,44.4479006
A,44.22428
A,45.4640792
A,45.6641208
A,45.3658998
A,45.3827402
A,44.7117406
A,44.162479
A,43.7328004
A,44.1464596
A,45.4014204
A,45.3839994
A,44.75296
A,44.8078806
A,44.783361
A,45.3612214
A,45.4889996
A,45.7840592
A,45.4918804
A,45.9361998
A,45.9569602
A,46.5216202
A,46.7919406
A,46.3527198
A,46.46952
A,46.3967198
A,46.33606
A,45.803981
A,45.7834196
A,45.4571612
A,44.8047398
A,44.88072
A,44.57936
A,45.1898396
A,45.4988802
A,46.3299606
A,45.4880592
A,45.5454804
A,45.9433788
A,45.8098006
A,45.8943206
A,46.82248
A,47.28846
A,47.3666996
A,47.6103804
A,47.3961002
A,46.8279014
A,46.7951792
A,46.5212598
A,46.783601
A,47.2730198
A,47.6287006
A,47.4830196
A,47.3045202
A,47.3765398
A,46.76396
A,46.7360608
A,46.8435792
A,46.6694802
A,46.9797606
A,47.0331604
A,47.24224
A,47.62682
A,47.285219
A,47.3694994
A,46.921481
A,47.14748
A,46.8073796
A,46.9285606
A,48.158961
A,48.154601
A,48.369799
A,48.2044596
A,47.7300188
A,46.9834392
A,47.176239
A,46.4423398
A,46.5331
A,46.0123608
A,45.8262
A,45.7139384
A,45.1561798
A,45.2676192
A,45.5665004
A,45.2359794
A,43.8700204
A,44.1953004
A,44.9114392
A,45.6637194
A,45.1372604
A,45.8686006
A,45.8871002
A,45.099141
A,45.7059192
A,45.5139204
A,45.2720794
A,44.94256
A,44.8325198
A,45.3854988
A,45.8408992
A,44.7102612
A,44.0952604
A,44.5378204
A,45.2684602
A,45.1378194
A,46.6670806
A,46.3019804
A,46.1582604
A,45.5437204
A,45.23212
A,45.2816
A,45.3130806
A,44.792879
A,44.3108206
A,45.4402998
A,45.2843404
A,45.7659206
A,46.3085604
A,45.642361
A,45.7917198
A,46.3692596
A,46.3752998
A,46.8071416
A,47.4368608
A,47.3111198
A,48.0437196
A,47.5588794
A,47.3940406
A,47.1819416
A,47.32392
A,47.279081
A,46.42062
A,46.41244
A,46.640181
A,46.6382006
A,47.14118
A,47.0023412
A,46.9654598
A,47.0519
A,47.1370196
A,46.5719
A,46.624341
A,47.61414
A,47.3445804
A,47.82526
A,47.9094808
A,48.3101406
A,48.1752602
A,48.0252596
A,48.0327994
A,48.6656796
A,48.8676998
A,48.5590204
A,47.7885606
A,48.3810198
A,48.7607998
A,48.63056
A,48.6874598
A,48.9030206
A,48.8219006
A,48.8574596
A,49.1879204
A,49.4727992
A,49.6776996
A,48.8363604
A,49.6090198
A,49.2943604
A,49.0828006
A,49.0187994
A,49.6752598
A,50.13526
A,50.2628202
A,50.3074794
A,49.95348
A,50.0365992
A,50.3632596
A,50.2534788
A,50.2799206
A,50.7114808
A,50.5090396
A,50.7439204
A,50.8103606
A,50.6601396
A,50.3341408
A,49.6421398
A,49.7186006
A,49.9981594
A,50.6139384
A,51.1757202
A,50.9534998
A,50.9226002
A,50.4597
A,50.1401608
A,50.05904
A,50.2950398
A,50.66082
A,50.5332598
A,50.6232592
A,50.8283592
A,51.4548194
A,51.0337004
A,50.7636998
A,50.262581
A,50.4001416
A,50.684361
A,51.1543598
A,50.99458
A,50.9250212
A,50.6119208
A,50.9345806
A,51.938141
A,51.767461
A,51.6112402
A,50.9788006
A,50.8947998
A,51.8788
A,52.0503608
A,52.2234806
A,51.8917
A,51.5617002
A,51.93214
A,52.22348
A,52.5032596
A,52.548139
A,52.5134804
A,52.5996994
A,52.7456992
A,52.3850404
A,52.1443788
A,52.3863808
A,52.1021602
A,52.0563804
A,52.1366008
A,52.3012592
A,52.3241604
A,52.383499
A,52.0970396
A,52.0772588
A,51.8668196
A,51.5899412
A,51.1648196
A,51.1197204
A,51.4517206
A,51.0063806
A,50.3581592
A,50.3023796
A,50.19882
A,50.15616
A,49.8055004
A,49.733721
A,49.667479
A,49.1890396
A,49.171041
A,49.6154808
A,49.5788202
A,49.2143604
A,49.5899188
A,49.5952402
A,48.9259018
A,48.1738802
A,48.3347796
A,48.458759
A,47.99634
A,48.2661208
A,48.3116806
A,49.0776794
A,48.8870004
A,49.4298998
A,49.1983608
A,49.6321208
A,50.2221396
A,50.2390206
A,50.5607992
A,50.8556996
A,51.34458
B,50.4807998
B,50.6912404
B,50.2221388
B,49.8592406
B,50.3145802
B,50.2534808
B,49.659921
B,49.4343612
B,48.1105796
B,48.5694794
B,49.8150404
B,50.1008192
B,50.62436
B,50.448379
B,50.4561388
B,50.6461602
B,50.69216
B,50.190601
B,49.7585796
B,49.6721406
B,50.1036798
B,49.6392402
B,50.2532414
B,50.3010202
B,49.6783404
B,48.0056588
B,48.6241206
B,47.19032
B,46.9058784
B,47.3850004
B,49.2276808
B,49.8579002
B,50.18256
B,50.5605602
B,50.3363196
B,50.2334396
B,50.2743196
B,50.0483188
B,50.4520988
B,49.558101
B,48.65986
